Team,Strength_Pi,Rank
brazil,2.928014762442265,1
netherlands,1.9935265177532255,2
thailand,1.7779807817964999,3
peru,1.7547089777574323,4
pakistan,1.6310049051692141,5
india,1.5872630555783074,6
iceland,1.4030678604141302,7
china,1.3308438192417729,8
panama,1.3237509765220958,9
ethiopia,1.209970220684232,10
philippines,1.123495228235428,11
singapore,1.0811056876342136,12
indonesia,1.0364714774833457,13
uk,1.0032999942276177,14
guatemala,0.9967960519584126,15
serbia,0.9958619780964385,16
new_zealand,0.9201438391277135,17
south_korea,0.8971757153263888,18
vietnam,0.8631896197998288,19
mexico,0.8347619326499138,20
france,0.8235358079211959,21
canada,0.8144285057387333,22
saudi_arabia,0.8120165699911319,23
morocco,0.780123086428111,24
uae,0.7480999840653657,25
germany,0.7393886571493525,26
switzerland,0.7289661339151683,27
oman,0.7033412177102908,28
usa,0.6912591451653557,29
mongolia,0.4966751464137166,30
rwanda,0.490145223814167,31
kazakhstan,0.4689636000906033,32
