Team,Strength,Log_Strength
brazil,2.9280945641951495,1.0743518920922808
netherlands,1.9934678618553683,0.6898757662422366
thailand,1.7779971360230167,0.5754875263047107
peru,1.754605458003506,0.5622440213898035
pakistan,1.6310079493005483,0.4891981975083902
india,1.587246809622793,0.46200094906343664
iceland,1.40307312760995,0.3386649220784322
china,1.330837281278025,0.2858082789552657
panama,1.3237503731596405,0.28046889982929635
ethiopia,1.2100096733000945,0.19062835403958217
philippines,1.1235334569321906,0.11647859140073692
singapore,1.081122264040719,0.07799963498180983
indonesia,1.0364665559969992,0.03581738608948182
uk,1.0032931037613357,0.003287693369877284
guatemala,0.9968267408348682,-0.003178304628532256
serbia,0.9958631409258352,-0.0041454395479811725
new_zealand,0.9201462393311908,-0.08322266577641217
south_korea,0.8971669542852267,-0.10851330906385792
vietnam,0.8632191018976819,-0.1470867361152158
mexico,0.8347730102888938,-0.1805954350529467
france,0.8235139612261416,-0.19417477598521074
canada,0.8144332583787007,-0.2052627961283908
saudi_arabia,0.8120351748285044,-0.20821162100437346
morocco,0.7800944467138092,-0.24834028109823614
uae,0.7480776863921578,-0.29024844758756785
germany,0.7393955432270432,-0.3019222600511346
switzerland,0.7289436234469656,-0.31615888405586784
oman,0.7033245034514697,-0.35193689559334423
usa,0.69126276826934,-0.3692352550404665
mongolia,0.4966930051655623,-0.6997831395821218
rwanda,0.49014402683280944,-0.7130559987552477
kazakhstan,0.4689590310082375,-0.7572398682784331
